2020-03-06 20:22:24 DEBUG ResourceBundleMessageInterpolator:89 - Loaded expression factory via original TCCL
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config 'file:./config/application-default.yaml' (file:./config/application-default.yaml) for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config 'file:./config/application-default.yaml' (file:./config/application-default.yaml) for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config 'file:./config/application.yaml' (file:./config/application.yaml) for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config 'file:./application-default.properties' (file:./application-default.properties) for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config 'file:./application-default.properties' (file:./application-default.properties) for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config 'file:./application.properties' (file:./application.properties) for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config 'file:./application-default.xml' (file:./application-default.xml) for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config 'file:./application-default.xml' (file:./application-default.xml) for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config 'file:./application.xml' (file:./application.xml) for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config 'file:./application-default.yml' (file:./application-default.yml) for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config 'file:./application-default.yml' (file:./application-default.yml) for profile default
#rootLogger.level = debug2020-03-06 20:22:24 TRACE ConfigFileApplicationListener:219 - Skipped missing config 'file:./application.yml' (file:./application.yml) for profile default
